WH,Demand ID,Item,Day,X,Y,Z,DeliveryFrom,DeliveryTo,DeliveryFailure
WH1,D1,Item-1,Day 1,2359,-1942,50,8:30:00,9:00:00,0
WH1,D2,Item-2,Day 1,-1961,294,40,8:30:00,9:00:00,0
WH1,D3,Item-3,Day 1,-1630,114,15,8:30:00,9:00:00,1
WH1,D4,Item-4,Day 1,-294,1900,20,8:30:00,9:00:00,0
WH1,D5,Item-5,Day 1,391,104,20,9:00:00,9:30:00,1
WH1,D6,Item-4,Day 2,-1387,2576,90,8:30:00,9:00:00,0
WH1,D7,Item-5,Day 2,1146,-1958,30,8:30:00,9:00:00,0
WH1,D8,Item-4,Day 1,-4400,1200,10,9:00:00,9:30:00,0
WH1,D9,Item-2,Day 3,4900,-4100,0,9:00:00,9:30:00,0
WH1,D1,Item-1,Day 1,2359,-1942,50,8:30:00,9:00:00,0
WH2,D2,Item-2,Day 1,1773,-287,20,8:30:00,9:00:00,1
WH2,D3,Item-3,Day 1,935,2729,10,8:30:00,9:00:00,0
WH3,D4,Item-4,Day 1,-1063,1248,5,8:30:00,9:00:00,0
WH2,D5,Item-5,Day 1,-601,2704,0,9:00:00,9:30:00,1
WH3,D6,Item-4,Day 2,1708,1578,50,8:30:00,9:00:00,0
WH2,D7,Item-5,Day 2,-1785,-920,10,8:30:00,9:00:00,0
WH3,D8,Item-4,Day 1,-3400,2200,20,9:00:00,9:30:00,0
WH3,D9,Item-2,Day 3,3900,4100,0,9:00:00,9:30:00,0
