DroneID,Day,Resting Time (s),Charging time (s),Maintenance Cost ($),Energy Cost ($)
D1A,1,13011.0,553.0,11.929166666666667,243.60291201935942
D1B,1,14400.0,0.0,10.0,0.0
D1C,1,14400.0,0.0,10.0,0.0
D1D,1,14400.0,0.0,10.0,0.0
D2A,1,13627.0,2556.0,16.717777777777776,7006.6979109335325
D2B,1,14400.0,0.0,15.0,0.0
D2C,1,14400.0,0.0,15.0,0.0
D2D,1,14400.0,0.0,15.0,0.0
D2E,1,14400.0,0.0,15.0,0.0
D3A,1,12816.0,3793.0,25.72,11657.5471059669
D3B,1,13886.0,1351.0,21.85611111111111,3040.824563634467
D3C,1,14040.0,996.0,21.3,1651.8430664968744
D3D,1,13870.0,2007.0,21.913888888888888,6710.658333172423
D3E,1,14400.0,0.0,20.0,0.0
D3F,1,14400.0,0.0,20.0,0.0
D3G,1,14400.0,0.0,20.0,0.0
D3H,1,14400.0,0.0,20.0,0.0
D4A,1,13191.0,2950.0,25.0375,6148.5274538274225
D4B,1,14400.0,0.0,20.0,0.0
D4C,1,14400.0,0.0,20.0,0.0
D4D,1,14400.0,0.0,20.0,0.0
D4E,1,14400.0,0.0,20.0,0.0
D4F,1,14400.0,0.0,20.0,0.0
D4G,1,14400.0,0.0,20.0,0.0
D4H,1,14400.0,0.0,20.0,0.0
D5A,1,10724.0,7542.0,50.42222222222222,9193.890794960038
D5B,1,10788.0,7635.0,50.06666666666666,26510.444811081798
D5C,1,10734.0,7489.0,50.36666666666667,15548.02768453463
D5D,1,11859.0,5111.0,44.11666666666667,8539.021083023754
D5E,1,12525.0,4203.0,40.416666666666664,6113.868707817363
D6A,1,10362.0,12706.0,78.04166666666667,29289.007349807187
D6B,1,14037.0,1191.0,52.520833333333336,2362.7130717194195
D6C,1,14400.0,0.0,50.0,0.0
D6D,1,14400.0,0.0,50.0,0.0
D6E,1,14400.0,0.0,50.0,0.0
D6F,1,14400.0,0.0,50.0,0.0
D6G,1,14400.0,0.0,50.0,0.0
D6H,1,14400.0,0.0,50.0,0.0
