Parameter_ID,Value,Unit,Type
MaxSpeed (M),8,m/s,
Cost(C),0.017,$/AH,
X11,100,Meter,Noflyzone
X12,120,Meter,Noflyzone
X13,120,Meter,Noflyzone
X14,100,Meter,Noflyzone
X15,100,Meter,Noflyzone
X16,120,Meter,Noflyzone
X17,120,Meter,Noflyzone
X18,100,Meter,Noflyzone
Y11,0,Meter,Noflyzone
Y12,0,Meter,Noflyzone
Y13,50,Meter,Noflyzone
Y14,50,Meter,Noflyzone
Y15,0,Meter,Noflyzone
Y16,0,Meter,Noflyzone
Y17,50,Meter,Noflyzone
Y18,50,Meter,Noflyzone
Z11,0,Meter,Noflyzone
Z12,0,Meter,Noflyzone
Z13,0,Meter,Noflyzone
Z14,0,Meter,Noflyzone
Z15,15,Meter,Noflyzone
Z16,15,Meter,Noflyzone
Z17,15,Meter,Noflyzone
Z18,15,Meter,Noflyzone
WH1X,0,Meter,WH Location 1
WH1Y,0,Meter,WH Location 2
WH1Z,0,Meter,WH Location 3
WH2X,400,Meter,WH Location 2
WH2Y,600,Meter,WH Location 2
WH2Z,0,Meter,WH Location 2
WH3X,1200,Meter,WH Location 3
WH3Y,-400,Meter,WH Location 3
WH3Z,0,Meter,WH Location 3
AX1,200,Meter,Recharge1
AY1,300,Meter,Recharge1
BX1,400,Meter,Recharge2
BY1,100,Meter,Recharge2
CX1,1000,Meter,Recharge3
CY1,1200,Meter,Recharge3
DX1,1600,Meter,Recharge4
DY1,500,Meter,Recharge4
EX1,-2000,Meter,Recharge5
EY1,-1900,Meter,Recharge5
P1,1,,Drone1
P2,3,,Drone2
P3,2,,Drone3
P4,4,,Drone4
P5,4,,Drone5
P6,6,,Drone6
Q1,2,,Drone1
Q2,2,,Drone2
Q3,4,,Drone3
Q4,3,,Drone4
Q5,5,,Drone5
Q6,5,,Drone6
A1,0.1,,Drone1
A2,0.2,,Drone2
A3,0.3,,Drone3
A4,0.3,,Drone4
A5,0.5,,Drone5
A6,0.6,,Drone6
B1,0.2,,Drone1
B2,0.4,,Drone2
B3,0.6,,Drone3
B4,0.8,,Drone4
B5,1,,Drone5
B6,1.2,,Drone6
C1,0.3,,Drone1
C2,0.6,,Drone2
C3,0.8,,Drone3
C4,1.2,,Drone4
C5,1.4,,Drone5
C6,1.8,,Drone6
DT1Count,5,,Drone1
DT2Count,5,,Drone2
DT3Count,5,,Drone3
DT4Count,5,,Drone4
DT5Count,5,,Drone5
DT6Count,5,,Drone6
