DroneID,Day,Resting Time (s),Charging time (s),Maintenance Cost ($),Energy Cost ($)
D1A,1,13770.0,318.0,10.875,135.36109264150235
D1B,1,13616.0,399.0,11.088888888888889,137.38052052993206
D2A,1,14026.0,355.0,15.831111111111111,149.61068411453346
D2B,1,14400.0,0.0,15.0,0.0
D2C,1,14400.0,0.0,15.0,0.0
D2D,1,14400.0,0.0,15.0,0.0
D2E,1,14400.0,0.0,15.0,0.0
D3A,1,13262.0,1889.0,24.109444444444446,-1154.6344995494078
D3B,1,14039.0,1359.0,21.30361111111111,4617.154100747706
D3C,1,14193.0,703.0,20.7475,1234.418742126789
D3D,1,14400.0,0.0,20.0,0.0
D3E,1,14400.0,0.0,20.0,0.0
D4A,1,14175.0,1507.0,20.9375,5677.307192013822
D4B,1,14400.0,0.0,20.0,0.0
D4C,1,14400.0,0.0,20.0,0.0
D4D,1,14400.0,0.0,20.0,0.0
D4E,1,14400.0,0.0,20.0,0.0
D5A,1,13632.0,6140.0,34.266666666666666,53137.1052872102
D5B,1,14097.0,3197.0,31.683333333333334,25547.713822244907
D5C,1,14400.0,0.0,30.0,0.0
D5D,1,14400.0,0.0,30.0,0.0
D5E,1,14400.0,0.0,30.0,0.0
D6A,1,13555.0,7328.0,55.86805555555556,65233.41037633198
D6B,1,13833.0,4540.0,53.9375,51521.13323807925
