WH,Demand ID,Item,Day,X,Y,Z,DeliveryFrom,DeliveryTo,DeliveryFailure,Distance
WH1,D1,Item-1,Day 2,1697,-100,45,8:10:00,9:00:00,0,1700.539326
WH1,D2,Item-2,Day 2,-2381,-1365,143,8:15:00,8:30:00,0,2748.242165
WH1,D3,Item-3,Day 2,1475,-975,45,8:30:00,9:00:00,0,1768.69302
WH1,D4,Item-5,Day 2,6000,5000,195,11:00:00,12:00:00,0,7812.683598
WH1,D5,Item-2,Day 2,-3826,-1174,136,10:00:00,10:30:00,0,4004.378603
WH1,D6,Item-4,Day 2,767,-4769,92,11:30:00,12:00:00,1,4831.16073
WH1,D7,Item-5,Day 2,2200,-1422,106,8:30:00,9:00:00,0,2621.701737
WH1,D8,Item-4,Day 2,-1843,-4436,103,9:30:00,9:45:00,0,4804.722052
WH1,D9,Item-2,Day 2,1304,800,56,9:00:00,9:30:00,0,1530.866421
WH1,D10,Item-1,Day 2,-3000,-200,116,9:00:00,11:00:00,0,3008.896143
WH1,D11,Item-3,Day 2,1862,-365,72,9:00:00,10:30:00,0,1898.803044
WH1,D12,Item-2,Day 2,1467,-2602,61,8:30:00,9:00:00,0,2987.677024
WH1,D13,Item-1,Day 2,1101,-2200,79,8:15:00,8:25:00,0,2461.390258
WH1,D14,Item-1,Day 2,1200,-2712,118,11:15:00,12:00:00,0,2967.97372
WH1,D15,Item-2,Day 2,1200,6200,218,10:25:00,12:00:00,0,6318.822992
WH1,D16,Item-2,Day 2,-2156,1098,100,8:30:00,9:00:00,0,2421.55735
WH1,D17,Item-4,Day 2,-240,2300,120,10:10:00,10:50:00,0,2315.599274
WH1,D18,Item-1,Day 2,-2349,456,80,9:10:00,9:20:00,0,2394.188171
WH1,D19,Item-2,Day 2,2471,-1204,117,10:30:00,12:00:00,0,2751.208098
WH1,D20,Item-1,Day 2,2200,-1846,141,11:40:00,12:00:00,0,2875.342936
WH1,D21,Item-5,Day 2,-676,-3766,64,11:30:00,12:00:00,0,3826.725493
WH1,D22,Item-5,Day 2,-2538,-1503,50,9:10:00,9:20:00,0,2950.076779
WH1,D23,Item-4,Day 2,2302,1290,20,8:10:00,8:30:00,0,2638.883097
WH1,D24,Item-5,Day 2,773,-3848,30,9:25:00,9:50:00,0,3924.98828
WH1,D25,Item-1,Day 2,-3035,3300,10,11:50:00,12:00:00,0,4483.450122
WH1,D26,Item-2,Day 2,-3000,3371,90,10:50:00,11:20:00,0,4513.506508
WH1,D27,Item-2,Day 2,3332,3889,78,11:40:00,12:00:00,0,5121.779866
WH1,D28,Item-3,Day 2,1900,-2200,93,8:30:00,9:00:00,0,2908.375663
WH1,D29,Item-3,Day 2,970,1115,82,9:10:00,9:20:00,0,1480.151681
WH1,D30,Item-5,Day 2,-6100,-7129,195,10:30:00,12:00:00,0,9384.597274
WH1,D31,Item-1,Day 2,-1480,-3988,135,11:40:00,12:00:00,0,4255.909891
WH1,D32,Item-1,Day 2,796,3948,60,11:30:00,12:00:00,0,4027.892749
WH1,D33,Item-4,Day 2,-3090,-4079,128,9:10:00,9:20:00,0,5118.859736
WH1,D34,Item-2,Day 2,-1168,-1267,120,9:00:00,9:30:00,0,1727.400648
WH1,D35,Item-4,Day 2,-270,-3328,92,9:00:00,11:00:00,0,3340.20179
WH1,D36,Item-1,Day 2,533,-3747,138,9:00:00,10:30:00,0,3787.234083
WH1,D37,Item-2,Day 2,3803,-552,72,8:30:00,9:00:00,0,3843.526636
WH1,D38,Item-1,Day 2,-3560,-1784,108,8:15:00,8:25:00,0,3983.455786
WH1,D39,Item-5,Day 2,642,-3810,109,11:15:00,12:00:00,0,3865.248375
WH1,D40,Item-5,Day 2,-2451,-40,101,8:30:00,9:00:00,0,2453.406204
WH1,D41,Item-4,Day 2,-1365,435,134,8:45:00,9:00:00,0,1438.890545
WH1,D42,Item-5,Day 2,2649,2692,108,10:00:00,10:30:00,0,3778.32357
WH1,D43,Item-1,Day 2,-3321,2937,129,9:30:00,10:30:00,0,4435.273498
WH1,D44,Item-2,Day 2,3701,-1583,59,9:10:00,9:20:00,0,4025.763406
WH1,D45,Item-1,Day 2,3120,-2335,52,9:00:00,9:30:00,0,3897.348971
WH1,D46,Item-5,Day 2,-3369,-1900,10,9:00:00,11:00:00,0,3867.849661
WH1,D47,Item-2,Day 2,-3257,-2111,80,10:00:00,10:30:00,0,3882.108963
WH1,D48,Item-1,Day 2,1148,-4248,121,10:00:00,11:30:00,0,4402.050545
WH1,D49,Item-4,Day 2,2415,-3234,127,11:30:00,12:00:00,0,4038.206285
WH1,D50,Item-2,Day 2,2415,-1234,90,11:40:00,12:00:00,0,4038.206285
