DroneID,Day,Resting Time (s),Charging time (s),Maintenance Cost ($),Energy Cost ($)
D1A,3,3618.0,2201.0,24.975,1190.9774186887012
D1B,3,5588.0,1799.0,22.238888888888887,667.851666691596
D1C,3,9128.0,1075.0,17.322222222222223,315.07919232735867
D1D,3,12418.0,408.0,12.752777777777778,101.64621266053535
D2A,3,13022.0,923.0,18.06222222222222,717.9810002107063
D2B,3,13736.0,445.0,16.475555555555555,329.9888646632771
D2C,3,13930.0,315.0,16.044444444444444,165.01628678048698
D2D,3,14400.0,0.0,15.0,0.0
D2E,3,14400.0,0.0,15.0,0.0
D3A,3,13856.0,964.0,21.964444444444446,1548.250269230517
D3B,3,14400.0,0.0,20.0,0.0
D3C,3,14400.0,0.0,20.0,0.0
D3D,3,14400.0,0.0,20.0,0.0
D3E,3,14400.0,0.0,20.0,0.0
D3F,3,14400.0,0.0,20.0,0.0
D3G,3,14400.0,0.0,20.0,0.0
D3H,3,14400.0,0.0,20.0,0.0
D4A,3,14094.0,2693.0,21.275,12083.467941099316
D4B,3,14400.0,0.0,20.0,0.0
D4C,3,14400.0,0.0,20.0,0.0
D4D,3,14400.0,0.0,20.0,0.0
D4E,3,14400.0,0.0,20.0,0.0
D4F,3,14400.0,0.0,20.0,0.0
D4G,3,14400.0,0.0,20.0,0.0
D4H,3,14400.0,0.0,20.0,0.0
D5A,3,14400.0,0.0,30.0,0.0
D5B,3,14400.0,0.0,30.0,0.0
D5C,3,14400.0,0.0,30.0,0.0
D5D,3,14400.0,0.0,30.0,0.0
D5E,3,14400.0,0.0,30.0,0.0
D6A,3,14400.0,0.0,50.0,0.0
D6B,3,14400.0,0.0,50.0,0.0
D6C,3,14400.0,0.0,50.0,0.0
D6D,3,14400.0,0.0,50.0,0.0
D6E,3,14400.0,0.0,50.0,0.0
D6F,3,14400.0,0.0,50.0,0.0
D6G,3,14400.0,0.0,50.0,0.0
D6H,3,14400.0,0.0,50.0,0.0
