WH,Demand ID,Item,Day,X,Y,Z,DeliveryFrom,DeliveryTo,DeliveryFailure
WH1,D1,Item-1,Day 1,1817,1999,95,9:10:00,9:50:00,0
WH1,D2,Item-2,Day 1,1542,-1401,150,8:15:00,8:30:00,0
WH1,D3,Item-4,Day 1,-1730,1946,76,8:30:00,9:00:00,0
WH1,D4,Item-1,Day 1,-1192,-601,54,8:00:00,9:00:00,0
WH1,D5,Item-4,Day 1,-1346,550,79,10:30:00,11:00:00,0
WH1,D6,Item-4,Day 1,-1908,-1298,118,11:30:00,12:00:00,0
WH1,D7,Item-2,Day 1,571,-915,161,8:30:00,9:00:00,0
WH1,D8,Item-4,Day 1,-1646,563,180,10:20:00,11:30:00,1
WH1,D9,Item-1,Day 1,2340,2497,170,11:00:00,12:00:00,0
WH1,D10,Item-4,Day 1,-1105,664,172,9:00:00,11:00:00,0
WH1,D11,Item-5,Day 1,1279,-1649,63,8:50:00,10:30:00,0
WH1,D12,Item-3,Day 1,2169,-2349,102,8:30:00,9:00:00,0
WH1,D13,Item-5,Day 1,1823,-842,138,8:15:00,8:25:00,0
WH1,D14,Item-1,Day 1,1000,-2139,42,11:15:00,12:00:00,0
WH1,D15,Item-3,Day 1,-1591,1007,108,10:25:00,12:00:00,0
WH1,D16,Item-5,Day 1,2305,-802,77,8:30:00,9:00:00,0
WH1,D17,Item-4,Day 1,673,-2038,117,11:00:00,12:00:00,0
WH1,D18,Item-1,Day 1,-1416,-8,145,9:10:00,9:20:00,0
WH1,D19,Item-1,Day 1,-563,-558,160,10:30:00,12:00:00,0
WH1,D20,Item-1,Day 1,-2469,710,147,11:40:00,12:00:00,0
WH2,D21,Item-3,Day 1,654,-2497,91,11:30:00,12:00:00,0
WH2,D22,Item-1,Day 1,-1143,-2153,75,9:10:00,9:20:00,0
WH2,D23,Item-5,Day 1,912,-423,101,8:10:00,8:30:00,0
WH2,D24,Item-3,Day 1,1768,796,144,9:25:00,9:50:00,0
WH2,D25,Item-2,Day 1,7271,7965,168,11:50:00,12:00:00,0
WH2,D26,Item-1,Day 1,7024,7555,137,10:50:00,11:20:00,0
WH2,D27,Item-1,Day 1,7390,8445,196,11:40:00,12:00:00,0
WH2,D28,Item-1,Day 1,8960,9000,157,8:30:00,9:30:00,0
WH2,D29,Item-5,Day 1,2196,-582,98,9:10:00,9:20:00,0
WH2,D30,Item-1,Day 1,-1093,-2023,59,10:30:00,12:00:00,0
WH2,D31,Item-1,Day 1,834,2219,180,11:40:00,12:00:00,0
WH2,D32,Item-2,Day 1,1413,-78,156,11:30:00,12:00:00,0
WH2,D33,Item-3,Day 1,825,-2252,72,9:10:00,9:20:00,0
WH2,D34,Item-5,Day 1,-1510,-2329,153,9:00:00,9:30:00,0
WH2,D35,Item-2,Day 1,2305,-1947,53,9:00:00,11:00:00,0
WH2,D36,Item-3,Day 1,7380,8445,196,9:00:00,10:30:00,0
WH2,D37,Item-2,Day 1,1441,1344,40,8:30:00,9:00:00,0
WH2,D38,Item-1,Day 1,1747,744,130,8:15:00,8:25:00,0
WH2,D39,Item-2,Day 1,-1177,795,142,11:15:00,12:00:00,0
WH2,D40,Item-3,Day 1,1963,845,161,8:30:00,9:00:00,0
WH2,D41,Item-2,Day 1,720,1183,87,8:45:00,9:00:00,0
WH2,D42,Item-1,Day 1,2010,2298,80,10:00:00,10:30:00,0
WH2,D43,Item-4,Day 1,2307,861,156,9:30:00,10:30:00,0
WH2,D44,Item-5,Day 1,-187,-2209,96,9:10:00,9:20:00,0
WH2,D45,Item-1,Day 1,-1767,929,55,9:00:00,9:30:00,0
WH2,D46,Item-5,Day 1,762,601,104,9:00:00,11:00:00,0
WH2,D47,Item-4,Day 1,-2014,-1111,88,10:00:00,10:30:00,0
WH2,D48,Item-3,Day 1,8580,-678,123,10:00:00,11:30:00,0
WH2,D49,Item-2,Day 1,-2627,-2110,109,11:40:00,12:00:00,0
WH2,D50,Item-2,Day 1,-2567,-2110,109,11:40:00,12:00:00,0
